"PLU","CATEGORY","COMMODITY","VARIETY","SIZE"
"3000","Fruits","APPLES","Alkmene","    All Sizes        "
"3001","Fruits","APPLES","Aurora/Southern Rose"," Small  "
"3002","Fruits","APPLES","Cantared"," All Sizes "
"3003","Fruits","APPLES","D'Estivale"," All Sizes "
"3004","Fruits","APPLES","Discovery","     All Sizes     "
"3005","Fruits","APPLES","Golden Delicious Blush"," All Sizes "
"3006","Fruits","APPLES","Ingrid Marie","  All Sizes  "
"3007","Fruits","APPLES","Lochbuie"," All Sizes "
"3008","Fruits","APPLES","Rubinette"," All Sizes "
"3009","Fruits","APPLES","Russet"," All Sizes "
"3010","Fruits","APPLES","Cripps Red"," Small  "
"3011","Fruits","APPLES","Worcester"," All Sizes "
"3012","Fruits","PEARS","Abate Fetel","All Sizes"
"3013","Fruits","PEARS","Beurre Hardy","All Sizes"
"3014","Fruits","PEARS","Bon Rouge","All Sizes"
"3015","Fruits","PEARS","Clara Friis","All Sizes"
"3016","Fruits","PEARS","Concorde","All Sizes"
"3017","Fruits","PEARS","Conference","All Sizes"
"3018","Fruits","PEARS","Durondeau","All Sizes"
"3019","Fruits","PEARS","Flamingo","All Sizes"
"3020","Fruits","PEARS","General Leclerc","All Sizes"
"3021","Fruits","PEARS","Guyot","All Sizes"
"3022","Fruits","PEARS","Josephine","All Sizes"
"3023","Fruits","PEARS","Passe Crassane","Small"
"3024","Fruits","PEARS","Rocha","All Sizes"
"3025","Fruits","PEARS","Rosemarie","All Sizes"
"3026","Fruits","PEARS","Triumph de Vienne","All Sizes"
"3027","Fruits","ORANGES","Shamouti","All Sizes"
"3028","Fruits","ORANGES","Delta Seedless","Small"
"3029","Fruits","TANGERINES/MANDARINS","Satsuma","All Sizes"
"3030","Fruits","TANGERINES/MANDARINS","Nova (includes Clemenvilla, Suntina)","All Sizes"
"3031","Fruits","TANGERINES/MANDARINS","Jamaican Tangor (includes Ortanique, Mandor, Mandora, Tambor, Topaz, Ortanline)","All Sizes"
"3032","Fruits","TANGERINES/MANDARINS","Ellendale","All Sizes"
"3033","Fruits","MELON","Charentais","Small"
"3034","Fruits","MELON","Charentais","Large"
"3035","Fruits","NECTARINE","White Flesh, Tree Ripened, Ready-to-eat","Large"
"3036","Fruits","ORANGES","Midknight","Small"
"3037","Fruits","PINEAPPLE","Queen","All Sizes"
"3038","Fruits","PASSION FRUIT","Granadilla, Orange","All Sizes"
"3039","Fruits","PHYSALIS/CAPE GOOSEBERRY/GROUND CHERRY","","All Sizes"
"3040","Fruits","PITAHAYA","Red (skin color)","All Sizes"
"3041","Fruits","RAMBUTAN","","All Sizes"
"3042","Fruits","MANGOSTEEN","","All Sizes"
"3043","Fruits","GRAPES","Italia, Seeded","All Sizes"
"3044","Fruits","APRICOTS","Black Velvet"," All Sizes "
"3045","Fruits","DATES","Fresh, On Branch","All Sizes"
"3046","Fruits","DATES","Fresh, Frozen","All Sizes"
"3047","Fruits","DATES","Medjool","All Sizes"
"3048","Vegetables","BEANS","Helda/Flat","All Sizes"
"3049","Vegetables","BEANS","Fine","All Sizes"
"3050","Vegetables","CABBAGE","Dutch White/Winter White","All Sizes"
"3051","Vegetables","CABBAGE","Spring Cabbage/Spring Greens","All Sizes"
"3052","Vegetables","GARLIC","String","All Sizes"
"3053","Vegetables","PARSNIP","Baby","All Sizes"
"3054","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Red/Lamuyo Red)","All Sizes"
"3055","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Green/Lamuyo Green)","All Sizes"
"3056","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Yellow/Lamuyo Yellow)","All Sizes"
"3057","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis Orange/Lamuyo Orange)","All Sizes"
"3058","Vegetables","PEPPERS (CAPSICUMS)","Elongated (Clovis White/Lamuyo White)","All Sizes"
"3059","Vegetables","SQUASH","Crown Prince","All Sizes"
"3060","Vegetables","SQUASH","Vegetable Marrow","All Sizes"
"3061","Vegetables","TOMATOES","Beef/Beefsteak","All Sizes"
"3062","Herbs","BAY LEAVES","","All Sizes "
"3063","Herbs","FENNEL LEAVES","","All Sizes"
"3064","Herbs","ALOE VERA LEAVES","","All Sizes"
"3065","Fruits","APPLES","Cameo"," Small "
"3066","Fruits","APPLES","Cameo"," Large "
"3067","Fruits","APPLES","Swiss Gourmet"," Small "
"3068","Fruits","APPLES","Swiss Gourmet"," Large "
"3069","Fruits","APPLES","Gravenstein, Red"," Small "
"3070","Fruits","APPLES","Gravenstein, Red","  Large  "
"3071","Fruits","APPLES","Granny Smith, Red"," All Sizes "
"3072","Fruits","APPLES","Lady"," All Sizes "
"3073","Fruits","APPLES","Macoun"," All Sizes "
"3074","Fruits","APPLES","Greening (RI)"," All Sizes "
"3075","Fruits","APPLES","Baldwin"," All Sizes "
"3076","Fruits","APPLES","Melrose"," All Sizes "
"3077","Fruits","APPLES","Northern Spy"," All Sizes "
"3078","Fruits","APPLES","Liberty"," All Sizes "
"3079","Vegetables","ASPARAGUS","Purple","All Sizes"
"3080","Fruits","AVOCADOS","Pinkerton","All Sizes"
"3081","Fruits","BERRIES","Saskatoon","All Sizes"
"3082","Vegetables","BROCCOLI","Crowns","All Sizes"
"3083","Vegetables","BRUSSELS SPROUTS","Stalk","All Sizes"
"3084","Herbs","CHERVIL","","All Sizes"
"3085","Vegetables","CORN","Indian, Decorative","Large"
"3086","Vegetables","CORN","Indian. Decorative","Mini"
"3087","Vegetables","CORN","Indian, Strawberry","All Sizes"
"3088","Fruits","CURRANTS","Red","All Sizes"
"3089","Vegetables","EGGPLANT (AUBERGINE)","Chinese","All Sizes"
"3090","Vegetables","EGGPLANT (AUBERGINE)","Thai","All Sizes"
"3091","Vegetables","GOBO ROOT/BURDOCK","","All Sizes"
"3092","Fruits","GRAPEFRUIT","OroBlanco/Sweetie","All Sizes"
"3093","Fruits","GRAPES","Retailer Assigned","All Sizes"
"3094","Fruits","GRAPES","Retailer Assigned","All Sizes"
"3095","Vegetables","KALE","Multicolor","All Sizes"
"3096","Vegetables","KOHLRABI","Purple/Red/All Other Colors","All Sizes"
"3097","Vegetables","LETTUCE","Romaine, Red","All Sizes"
"3098","Vegetables","LETTUCE","Boston, Red","All Sizes"
"3099","Vegetables","LOTUS ROOT","","All Sizes"
"3100","Fruits","MELON","Gold Honeydew","All Sizes"
"3101","Fruits","MELON","Piel de Sapo","All Sizes"
"3102","Vegetables","MUSHROOMS","Morel","All Sizes "
"3103","Vegetables","MUSHROOMS","Enoki","All Sizes"
"3104","Fruits","APPLES","RoHo 3615"," All Sizes  "
"3105","Nuts","CASHEWS","","All Sizes"
"3106","Nuts","MACADAMIA","","All Sizes"
"3107","Fruits","ORANGES","Navel","Medium"
"3108","Fruits","ORANGES","Valencia","Medium"
"3109","Fruits","ORANGES","Seville (Marmalade type)","All Sizes"
"3110","Fruits","ORANGES","Navel, Cara Cara (Red)","All Sizes"
"3111","Fruits","PAPAYA/PAWPAW","Red-Fleshed (Solo Sunrise)","All Sizes"
"3112","Fruits","PAPAYA/PAWPAW","Meridol","All Sizes"
"3113","Fruits","PEACHES","Flat White Flesh (Saturn type)"," All Sizes "
"3114","Fruits","MANGO","Green","Extra Large"
"3115","Fruits","PEACHES","Flat Yellow Flesh"," All Sizes "
"3116","Fruits","PEACHES","Yellow Flesh (Tree Ripened/Ready-to-eat)"," Small "
"3117","Fruits","PEACHES","Yellow Flesh (Tree Ripened/Ready-to-eat)"," Large "
"3118","Fruits","PEARS","Starkrimson","All Sizes"
"3119","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Green","Small"
"3120","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Green","Large"
"3121","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Orange","All Sizes"
"3122","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - White","All Sizes"
"3123","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Brown","All Sizes"
"3124","Vegetables","PEPPERS (CAPSICUMS)","Bell, Greenhouse - Purple","All Sizes"
"3125","Vegetables","PEPPERS (CAPSICUMS)","Habanero","All Sizes"
"3126","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Retailer Assigned","All Sizes"
"3127","Fruits","POMEGRANATE","","Medium"
"3128","Vegetables","POTATO","Purple","All Sizes  "
"3129","Fruits","GRAPEFRUIT","Pummelo - Red","All Sizes"
"3130","Vegetables","PUMPKIN","Jumbo","All Sizes"
"3131","Vegetables","PUMPKIN","Decorative (Painted)","All Sizes"
"3132","Vegetables","PUMPKIN","White","All Sizes"
"3133","Vegetables","PUMPKIN","White - Mini","All Sizes"
"3134","Vegetables","PUMPKIN","Pie Pumpkin","All Sizes"
"3135","Vegetables","GOURD","Ornamental","All Sizes"
"3136","Fruits","SAPODILLO/NISPERO","","All Sizes"
"3137","Fruits","SAPOTE","White","All Sizes"
"3138","Fruits","SAPOTE","Black","All Sizes"
"3139","Herbs","SAVORY","","All Sizes "
"3140","Vegetables","SQUASH","Cucuzza","All Sizes"
"3141","Vegetables","SQUASH","Opo","All Sizes"
"3142","Vegetables","SQUASH","Carnival","All Sizes"
"3143","Vegetables","SQUASH","Acorn - baby","All Sizes"
"3144","Fruits","TANGERINES/MANDARINS","Fall Glo","All Sizes"
"3145","Vegetables","TOMATOES","Plum/Italian/Saladette/Roma (Yellow)","All Sizes"
"3146","Vegetables","TOMATOES","Cherry - Red, On the Vine","All Sizes"
"3147","Vegetables","TOMATOES","Cherry - Yellow, On the Vine","All Sizes"
"3148","Vegetables","TOMATOES","Regular - Yelllow, On the Vine (Truss)","All Sizes"
"3149","Vegetables","TOMATOES","Regular - Orange, On the Vine","All Sizes"
"3150","Vegetables","TOMATOES","Cocktail/Intermediate - Red","All Sizes"
"3151","Vegetables","TOMATOES","Vine Ripe, Regular - Red","Large"
"3152","Fruits","GRAPEFRUIT","Melogold","All Sizes"
"3153","Fruits","ORANGES","Delta Seedless","Medium"
"3154","Fruits","ORANGES","Delta Seedless","Large"
"3155","Fruits","ORANGES","Midknight","Medium"
"3156","Fruits","ORANGES","Midknight","Large"
"3157","Fruits","GRAPEFRUIT","White","Extra Large"
"3158","Fruits","GRAPEFRUIT","White","Extra Large"
"3159","Fruits","GRAPEFRUIT","White","Extra Large"
"3160","Vegetables","GAI LAN","Synonymous with Chinese Broccoli","All Sizes"
"3161","Vegetables","GAI (GUI) CHOY (CHINESE or INDIAN MUSTARD)","Baby - Chinese or Indian Mustard","All Sizes"
"3162","Vegetables","ONG CHOY","Synonymous with Water Spinach","All Sizes"
"3163","Vegetables","BOK CHOY (PAK CHOI)","Shanghai","All Sizes"
"3164","Vegetables","YU CHOY","","All Sizes"
"3165","Vegetables","RADICCHIO","Treviso","All Sizes"
"3166","Vegetables","CABBAGE","Tuscan","All Sizes"
"3167","Vegetables","FRISEE","","All Sizes"
"3168","Vegetables","RADICCHIO","Castlefranco","All Sizes"
"3169","Vegetables","LETTUCE","Catalogna","All Sizes"
"3170","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3171","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3172","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3173","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3174","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3175","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3176","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3177","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3178","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3179","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3180","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3181","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3182","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3183","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3184","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3185","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3186","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3187","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3188","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3189","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3190","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3191","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3192","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3193","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3194","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3195","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3196","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3197","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3198","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3199","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3200","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3201","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3202","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3203","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3204","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3205","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3206","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3207","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3208","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3209","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3210","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3211","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3212","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3213","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3214","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3215","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3216","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3217","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3218","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3219","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3220","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3221","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3222","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3223","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3224","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3225","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3226","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3227","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3228","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3229","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3230","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
"3231","ALL","FOR USE WITH ALL COMMODITIES","Retailer Assigned","All Sizes"
